spec,N,beta_constraint,se_constraint,t_stat,p_value,R2_within,FE_type,cluster_level,notes,ci_lower,ci_upper,mde_80
1a_contemporaneous,160,3.4837762428992582,3.405653104820946,1.0229392529637626,0.3157607057873683,0.5699828195145111,country + year,country,Co-primary. Wild bootstrap p-value to be added.,-3.191303842549796,10.158856328348312,9.618168116706896
1b_lagged_constraint,133,-0.1902754173516418,2.246138722753805,-0.0847122287791561,0.9331391034941428,0.5936705579463529,country + year,country,Co-primary. Wild bootstrap p-value to be added.,-4.64942457071119,4.268873736007906,
