spec,N,beta_constraint,se_constraint,ci_lower,ci_upper,p_value,R2,notes
"Baseline (mean, all countries)",27,6.1253832545546345,2.3357219982595265,1.5474522600680354,10.703314249041235,0.008729249765446336,0.3004194410273242,Baseline for comparison
"Drop small countries (LU, MT, CY, SI)",23,5.272128749214252,2.125246751804576,1.1067216574165473,9.437535841011957,0.013111963819696697,0.31654202086552385,Excludes countries with extreme per-SME volatility
Single year (2019),27,3.7610683013957615,5.790588479340762,-7.588276567404691,15.110413170196214,0.51600619855742,0.28722373778031807,"Pre-COVID cross-section, no time averaging"
Median (instead of mean),27,7.6778597413679375,4.7005956142746586,-1.535138368497325,16.8908578512332,0.10238906151023301,0.26232405915213397,Robust to within-country outlier years
