,pi_bartik,se_bartik,t_bartik,approx_f,r2_within,beta_eib,se_eib,t_eib,p_eib
first_stage,1.7238575225211057e-09,1.1020730006418901e-09,1.5641954040404438,2.4467072620212473,0.5787905318193793,,,,
second_stage,,,,,0.8279296429791686,-0.010602453816595659,0.014011210608752484,-0.7567121865952502,0.4560251127253303
ols,,,,,0.8286568670826339,0.0029236908105947264,0.002530126035483276,1.1555514506360454,0.25837382610108683
